"","res","",""
"978","732","4","1111"
"979","732","4","1111"
"980","732","4","1111"
"981","732","4","1111"
"982","732","4","0111"
"983","732","3","111"
"984","732","4","1111"
"985","732","4","1111"
"986","732","3","110"
"987","732","3","111"
"988","732","3","110"
"989","733","8","00000000"
"990","733","8","00000000"
"991","733","6","111111"
"992","733","4","0000"
"993","733","4","1111"
"994","733","4","1111"
"995","734","3","110"
"996","734","5","00000"
"997","734","5","00000"
"998","734","4","1111"
"999","734","4","1111"
"1000","734","6","111111"
"1001","734","4","0000"
"1002","734","5","11111"
"1003","734","4","0000"
"1004","734","5","11111"
"1005","734","3","000"
"1006","734","5","11101"
"1007","734","3","011"
"1008","734","4","1100"
"1009","734","4","0111"
"1010","734","3","111"
"1011","735","5","11101"
"1012","735","7","1110111"
"1013","735","4","0000"
"1014","735","6","111111"
"1015","735","4","1111"
"1016","735","5","11110"
"1017","735","3","000"
"1018","735","5","11100"
"1019","735","6","110000"
"1020","735","3","000"
"1021","736","4","1111111"
"1022","736","4","1111111"
"1023","736","6","111111"
"1024","736","6","111110"
"1025","736","5","11110"
"1026","736","3","111"
"1027","737","10","1111111011"
"1028","737","6","000000"
"1029","737","6","111111"
"1030","737","4","0000"
"1031","738","3","0"
"1032","738","4","1011"
"1033","738","6","011111"
"1034","738","3","101"
"1035","738","6","111111"
"1036","738","6","111111"
"1037","738","4","0000"
"1038","738","8","01110111"
"1039","738","4","1111"
"1040","738","3","111"
"1041","739","3","0"
"1042","739","5","11001"
"1043","739","7","1011111"
"1044","739","7","1111111"
"1045","739","6","111101"
"1046","739","6","111111"
"1047","739","5","11101"
"1048","740","5","01011"
"1049","740","9","101101111"
"1050","740","10","0110111100"
"1051","740","7","1111111"
"1052","740","3","000"
"1053","741","3","1"
"1054","741","5","00001"
"1055","741","6","111111"
"1056","741","5","11111"
"1057","741","3","111"
"1058","741","3","111"
"1059","741","5","11001"
"1060","741","4","0011"
"1061","741","4","1011"
"1062","741","4","1111"
"1063","742","6","111111"
"1064","742","4","1011"
"1065","742","3","011"
"1066","742","7","1111110"
"1067","742","4","0000"
"1068","742","4","1111"
"1069","743","4","1110"
"1070","743","7","1111110"
"1071","743","7","1111111"
"1072","743","4","1101"
"1073","743","4","1100"
"1074","743","4","1100"
"1075","743","3","111"
"1076","744","3","101"
"1077","744","5","11110"
"1078","744","7","1111011"
"1079","744","7","1111111"
"1080","744","7","1101111"
"1081","744","7","1111111"
"1082","744","5","11111"
"1083","744","4","0000"
"1084","744","4","1100"
"1085","745","5","00000"
"1086","745","7","1111111"
"1087","745","7","1111111"
"1088","745","8","11111111"
"1089","745","7","1111111"
"1090","745","4","0000"
"1091","745","5","00000"
"1092","745","8","11110111"
"1093","745","7","1111111"
"1094","745","5","00000"
"1095","746","4","11111111"
"1096","746","4","11111111"
"1097","746","5","11111111"
"1098","746","6","111111"
"1099","746","6","111111"
"1100","746","8","11111111"
"1101","746","7","1111111"
"1102","746","6","111111"
